row_id,sample_id,split,homonym,judged_meaning,precontext,sentence,ending,example_sentence,choices_json,nonsensical_json,average,stdev,has_ending,story_text,meaning_text,model_input
232,1085,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day.",The stress was so bad that even her faculties were affected.,,Her artistic faculty amazed everyone present.,"[5, 4, 5, 5, 4]","[false, false, false, false, false]",4.6,0.5477225575051661,False,"Precontext: Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day. Ambiguous sentence: The stress was so bad that even her faculties were affected. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day. Ambiguous sentence: The stress was so bad that even her faculties were affected. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
233,1086,train,faculties,the body of teachers and administrators at a school,"Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day.",The stress was so bad that even her faculties were affected.,,The faculty organized a new curriculum.,"[1, 3, 1, 2, 3]","[false, false, false, false, false]",2.0,1.0,False,"Precontext: Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day. Ambiguous sentence: The stress was so bad that even her faculties were affected. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: Emily had always been dedicated to her work. Lately, however, the pressure had intensified. She found herself struggling to get through each day. Ambiguous sentence: The stress was so bad that even her faculties were affected. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
234,1861,train,faculties,one of the inherent cognitive or perceptual powers of the mind,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",The police attended to increase safety levels.,Her artistic faculty amazed everyone present.,"[1, 2, 1, 1, 2]","[false, false, false, false, false]",1.4,0.5477225575051661,True,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: The police attended to increase safety levels.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: The police attended to increase safety levels. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
235,1862,train,faculties,the body of teachers and administrators at a school,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",The police attended to increase safety levels.,The faculty organized a new curriculum.,"[4, 5, 4, 4, 3]","[false, false, false, false, false]",4.0,0.7071067811865476,True,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: The police attended to increase safety levels.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: The police attended to increase safety levels. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
236,1863,train,faculties,one of the inherent cognitive or perceptual powers of the mind,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",Students started panicking and hiding inside the cupboards.,Her artistic faculty amazed everyone present.,"[2, 2, 1, 1, 1]","[false, false, true, false, false]",1.4,0.5477225575051661,True,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: Students started panicking and hiding inside the cupboards.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: Students started panicking and hiding inside the cupboards. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
237,1864,train,faculties,the body of teachers and administrators at a school,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",Students started panicking and hiding inside the cupboards.,The faculty organized a new curriculum.,"[1, 1, 1, 4, 3]","[true, true, false, false, false]",2.0,1.4142135623730951,True,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: Students started panicking and hiding inside the cupboards.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: Students started panicking and hiding inside the cupboards. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
238,1865,train,faculties,one of the inherent cognitive or perceptual powers of the mind,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",,Her artistic faculty amazed everyone present.,"[1, 1, 2, 1, 1]","[false, false, true, false, false]",1.2,0.4472135954999579,False,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
239,1866,train,faculties,the body of teachers and administrators at a school,It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions.,"After the shooting, there were concerns around the faculties.",,The faculty organized a new curriculum.,"[2, 4, 5, 1, 5]","[false, false, false, true, false]",3.4,1.816590212458495,False,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: It was a quiet afternoon at the campus library. Students were studying when suddenly loud bangs echoed through the corridors. Panic spread as people started moving in all directions. Ambiguous sentence: After the shooting, there were concerns around the faculties. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
240,2605,train,faculties,one of the inherent cognitive or perceptual powers of the mind,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,It was a good thing she studied hard beforehand.,Her artistic faculty amazed everyone present.,"[5, 2, 5, 5, 3]","[false, false, false, false, false]",4.0,1.4142135623730951,True,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: It was a good thing she studied hard beforehand.,Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: It was a good thing she studied hard beforehand. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.
241,2606,train,faculties,the body of teachers and administrators at a school,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,It was a good thing she studied hard beforehand.,The faculty organized a new curriculum.,"[4, 1, 1, 3, 3]","[false, false, false, true, false]",2.4,1.3416407864998738,True,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: It was a good thing she studied hard beforehand.,Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: It was a good thing she studied hard beforehand. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.
242,2607,train,faculties,one of the inherent cognitive or perceptual powers of the mind,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,Having such a strong support network of colleagues was invaluable in achieving her success.,Her artistic faculty amazed everyone present.,"[4, 4, 5, 3, 2]","[false, false, true, false, false]",3.6,1.140175425099138,True,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: Having such a strong support network of colleagues was invaluable in achieving her success.,Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: Having such a strong support network of colleagues was invaluable in achieving her success. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.
243,2608,train,faculties,the body of teachers and administrators at a school,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,Having such a strong support network of colleagues was invaluable in achieving her success.,The faculty organized a new curriculum.,"[4, 5, 4, 5, 4]","[false, false, false, false, false]",4.4,0.5477225575051661,True,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: Having such a strong support network of colleagues was invaluable in achieving her success.,Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: Having such a strong support network of colleagues was invaluable in achieving her success. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.
244,2609,train,faculties,one of the inherent cognitive or perceptual powers of the mind,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,,Her artistic faculty amazed everyone present.,"[5, 5, 4, 5, 4]","[false, false, false, false, false]",4.6,0.5477225575051661,False,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: NO_ENDING,Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.
245,2610,train,faculties,the body of teachers and administrators at a school,Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her.,She passed the test with the help of her faculties.,,The faculty organized a new curriculum.,"[4, 3, 4, 4, 2]","[false, false, false, false, false]",3.4,0.8944271909999159,False,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: NO_ENDING,Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,Precontext: Anna had always been curious and full of questions. Her days at the academy were filled with learning and challenges. She often sought guidance from those around her. Ambiguous sentence: She passed the test with the help of her faculties. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.
246,2743,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,He couldn't get his mind to focus.,Her artistic faculty amazed everyone present.,"[3, 4, 5, 4, 5]","[false, false, false, false, false]",4.2,0.8366600265340756,True,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: He couldn't get his mind to focus.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: He couldn't get his mind to focus. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
247,2744,train,faculties,the body of teachers and administrators at a school,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,He couldn't get his mind to focus.,The faculty organized a new curriculum.,"[1, 1, 1, 1, 1]","[false, false, false, false, false]",1.0,0.0,True,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: He couldn't get his mind to focus.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: He couldn't get his mind to focus. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
248,2745,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,Tom was happy to be back and meet the old teaching staff.,Her artistic faculty amazed everyone present.,"[5, 4, 5, 3, 1]","[false, false, false, false, false]",3.6,1.6733200530681511,True,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: Tom was happy to be back and meet the old teaching staff.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: Tom was happy to be back and meet the old teaching staff. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
249,2746,train,faculties,the body of teachers and administrators at a school,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,Tom was happy to be back and meet the old teaching staff.,The faculty organized a new curriculum.,"[3, 1, 2, 3, 5, 1]","[false, false, false, false, false, false]",2.5,1.51657508881031,True,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: Tom was happy to be back and meet the old teaching staff.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: Tom was happy to be back and meet the old teaching staff. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
250,2747,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,,Her artistic faculty amazed everyone present.,"[4, 2, 1, 2, 4]","[false, false, false, false, false]",2.6,1.3416407864998738,False,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
251,2748,train,faculties,the body of teachers and administrators at a school,"Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off.",His faculties seemed very unhinged.,,The faculty organized a new curriculum.,"[2, 4, 1, 2, 2]","[false, false, false, false, false]",2.2,1.0954451150103321,False,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: Tom walked through the familiar halls of the old institution. It had been years since he last visited, and everything felt different now. He couldn't shake the feeling that something was off. Ambiguous sentence: His faculties seemed very unhinged. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
252,3692,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,"The team won this year, and they spent the evening celebrating.",Her artistic faculty amazed everyone present.,"[1, 2, 4, 2, 4]","[false, false, false, false, false]",2.6,1.3416407864998738,True,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: The team won this year, and they spent the evening celebrating.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: The team won this year, and they spent the evening celebrating. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
253,3693,train,faculties,the body of teachers and administrators at a school,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,"The team won this year, and they spent the evening celebrating.",The faculty organized a new curriculum.,"[2, 4, 1, 1, 1]","[false, false, false, false, false]",1.8,1.3038404810405297,True,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: The team won this year, and they spent the evening celebrating.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: The team won this year, and they spent the evening celebrating. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
254,3694,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,Even the Dean of Students had decided to come along and take part.,Her artistic faculty amazed everyone present.,"[3, 2, 1, 2, 5]","[false, false, false, false, false]",2.6,1.51657508881031,True,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: Even the Dean of Students had decided to come along and take part.",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: Even the Dean of Students had decided to come along and take part. [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
255,3695,train,faculties,the body of teachers and administrators at a school,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,Even the Dean of Students had decided to come along and take part.,The faculty organized a new curriculum.,"[5, 5, 2, 5, 5]","[false, false, false, false, false]",4.4,1.3416407864998738,True,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: Even the Dean of Students had decided to come along and take part.",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: Even the Dean of Students had decided to come along and take part. [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
256,3696,train,faculties,one of the inherent cognitive or perceptual powers of the mind,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,,Her artistic faculty amazed everyone present.,"[5, 5, 5, 5, 4]","[false, false, false, false, false]",4.8,0.4472135954999579,False,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: one of the inherent cognitive or perceptual powers of the mind. Example sentence for this meaning: Her artistic faculty amazed everyone present."
257,3697,train,faculties,the body of teachers and administrators at a school,"The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial.",All the faculties needed to achieve the required goal were engaged.,,The faculty organized a new curriculum.,"[3, 5, 5, 4, 3]","[false, false, true, false, false]",4.0,1.0,False,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: NO_ENDING",Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum.,"Precontext: The team had been preparing for the big event all year. Each member was ready to contribute their unique skills. The challenge was immense, and everyone knew their role was crucial. Ambiguous sentence: All the faculties needed to achieve the required goal were engaged. Ending: NO_ENDING [SEP] Homonym: faculties. Candidate meaning: the body of teachers and administrators at a school. Example sentence for this meaning: The faculty organized a new curriculum."
258,3421,train,inflation,a general and progressive increase in prices,"Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop.",The tires on the car were affected by inflation.,The gauge finally gave a reading he was happy with.,Inflation causes prices to rise steadily.,"[4, 3, 5, 1, 1]","[false, false, false, false, false]",2.8,1.7888543819998317,True,"Precontext: Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop. Ambiguous sentence: The tires on the car were affected by inflation. Ending: The gauge finally gave a reading he was happy with.",Homonym: inflation. Candidate meaning: a general and progressive increase in prices. Example sentence for this meaning: Inflation causes prices to rise steadily.,"Precontext: Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop. Ambiguous sentence: The tires on the car were affected by inflation. Ending: The gauge finally gave a reading he was happy with. [SEP] Homonym: inflation. Candidate meaning: a general and progressive increase in prices. Example sentence for this meaning: Inflation causes prices to rise steadily."
259,3422,train,inflation,the act of filling something with air,"Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop.",The tires on the car were affected by inflation.,The gauge finally gave a reading he was happy with.,The balloon experienced rapid inflation.,"[5, 3, 4, 4, 5]","[false, false, false, false, false]",4.2,0.8366600265340756,True,"Precontext: Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop. Ambiguous sentence: The tires on the car were affected by inflation. Ending: The gauge finally gave a reading he was happy with.",Homonym: inflation. Candidate meaning: the act of filling something with air. Example sentence for this meaning: The balloon experienced rapid inflation.,"Precontext: Jack loved maintaining his old car. He noticed things had been getting a lot more expensive lately. Last week, he found a good deal on a pump at the auto shop. Ambiguous sentence: The tires on the car were affected by inflation. Ending: The gauge finally gave a reading he was happy with. [SEP] Homonym: inflation. Candidate meaning: the act of filling something with air. Example sentence for this meaning: The balloon experienced rapid inflation."
